original_text,polarity,subjectivity,clean_text
THIS FIRST AID AGENT  NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSED… https://t.co/iol4J5FQXo,0.1625,0.30833333333333335,THIS FIRST AID AGENT THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE OF STROKE AND LATER …
RT @YakiLopez: I guess this is what ethnic cleansing and apartheid look like…🤦🏻‍♂️ https://t.co/3eRJjOZF8W,0.0,0.0,: I guess this is what ethnic cleansing and apartheid look like …🤦🏻‍♂️
Look how pathetically disrespectful the US is with the Pfizer distribution. Mere 400-480 while the others have hund… https://t.co/1KD2TVM0ak,-0.5,0.5,Look how pathetically disrespectful the US is with the distribution . Mere 400 - 480 while the have …
"Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",0.1958333333333333,0.2875,is in the midst of a full blown third wave . The sobering trajectory of surging should rouse everyone into urgent action . We ’ seen in and elsewhere just how quickly COVID19 can rebound and overwhelm health .
"@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity",-0.09166666666666666,0.41666666666666663,""" Less than 2 % of ’ s population been . donated next year will be far too late for those who are dying today , or being infected today , or at risk today ""- COVID19"
"So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd",0.625,1.0,"So glad to join training day for the COVID19 Community Corps They will be going door to door and to encourage to Together , we ’ crush the virus !"
"[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",0.625,0.4,[ ] ☀️ ☀️ Available ! 📍 Pharmacy ( 100 201 ) 📞 204 - 306 - 4459 💻 Call to confirm availability / book appointment ! VHCDose2 COVID19MB
@robinmonotti2 @RiseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 https://t.co/oocr6CtzQZ,0.2333333333333333,0.5533333333333333,🤔🤔 Covid19 are super inflated by a test ! a survival rate of the Covid19 virus of 99 . 97 % the death by comparison is infinitely higher - try ~ 1 million times more likely to die by the Covid19 shot than the “ actual ” virus !! 😳😳😳😳😳😳😳😳😳😳😳
"That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli",0.4000000000000001,0.7166666666666667,That ' s great . But there are now * zero * available within a 6 hour driving radius of for anyone who can only get for shot 2 . Save for our . They don ' t have a choice between .
"A free 6/23 webinar will review the state of #COVID19 in Brazil, India, and South Africa and explore what lessons w… https://t.co/a1SfPNXsJ6",0.4,0.8,"A free 6 / 23 will review the state of COVID19 in Brazil , , and South and explore what w …"
"We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",-0.23645833333333335,0.3375,"We are dying ! need the world to stand with them . We need oxygen , , COVID19 and money to pay our over - health . World , we need each other ! Oxygen failure 30 Covid at via"
"#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

""That's the reason why ERNs were developed...""

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn",0.1,0.3,"meeting : and COVID19 "" That ' s the reason why were ..."" for people living with"
"""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22",0.125,0.325,""" needs millions more here & ; now to curb the third wave ."" In the midst of a third wave of COVID19 in , out for much - COVID - 19 vaccine during this critical time ."
"A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 #StrongerTogether",0.20727272727272728,0.5709090909090909,A new survey 79 % of intend to get against COVID19 this year . But people aged under 45 are more hesitant . 70 % also believe the EU a key role in access to in their country . 🇪🇺 More 👇
"Global Partnership is needed to achieve Global Elimination of Cervical Cancer Globally.
#COVID19 has shown that we… https://t.co/sqkhlN56Ld",0.0,0.0,Global Partnership is to achieve Global Elimination of Cervical Cancer Globally . COVID19 shown that we …
"The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B",0.13333333333333333,0.6333333333333333,The US government is lying to us by Covid19 is over . It is not over . People are still dying daily . are fantastic but they are not the only thing we need to do to save . Call your !
IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,0.0,0.06388888888888888,South and wrote to the government in last year that in Informal settlement do not have basic to combat COVID - 8 later the problem ! COVID Inequality ~ share the story !
"[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB",0.25,0.2,[ ] 🌸 🌸 Available ! 📍 Atlantic Medical ( 1054 Street ) 📞: 204 - 505 - 1580 Call to confirm availability / book an appointment ! VHCDose2 COVID19MB
"More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)",0.21212121212121207,0.40151515151515155,"More than 10 , 000 new in South ' s latest report . Positivity rate above 20 %. The third wave . ( And two - of new are in province .)"
At least one take away seems to me to be that universities may still find themselves facing litigation even if they don't mandate #covid19 #vaccines.,-0.3,0.4,At least one take away to me to be that may still find themselves facing litigation even if they don ' t mandate covid19 .
With the vaccination programme well underway it is important that employers continue to ensure their staff can find… https://t.co/THVSYBFinh,0.4,1.0,With the vaccination well underway it is important that continue to ensure their staff can find …
"Not yet vaccinated against COVID-19? Sign up for an appointment and let’s stop the spread! #WeCanDoThis #Arizona 

https://t.co/6SJjjtquRx",0.0,0.0,Not yet against COVID - 19 ? Sign up for an appointment and let ’ s stop the spread !
"You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",0.09375,0.28125,"You can get a COVID19 vaccine and other , flu and shingles , at the same visit . You no longer need to wait 14 days between . Side effects are the same if are given alone or together . More about vaccine timing :"
RT @Rimmel_Mohydin: HOARDING VACCINES IS COSTING LIVES.,0.0,0.0,: HOARDING IS COSTING .
"@AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous to Palestinians, making the covid19 crisis far worse, leading to more Palestinian deaths? #ThisisIsrael. https://t.co/WTPn9XMSvs",-0.125,0.725,"Will tell the world that SOLD to , which could have been disastrous to , making the covid19 crisis far worse , leading to more ? ."
"17 June 2021: #COVID19 in South Africa 🇿🇦

Daily test positivity rate at 22.6% today, that's a positive test for every 4-5 tests processed 🚩

The increase in test positivity rate, 7-day average at 18.7%, confirming the rapid rise in infections 📈

#Rid1TweetsOnCovid #coronavirus https://t.co/LKarZlmwgg",0.025757575757575757,0.3151515151515151,"17 June 2021 : COVID19 in South 🇿🇦 Daily test positivity rate at 22 . 6 % today , that ' s a positive test for every 4 - 5 🚩 The increase in test positivity rate , 7 - day average at 18 . 7 %, confirming the rapid rise in 📈 Rid1TweetsOnCovid"
RT @wef: Study: Most people support sharing vaccines with other countries https://t.co/LrZJO0BFVA #covid19 #vaccines https://t.co/qPbTFhiM0E,0.1875,0.4375,: Study : Most people support with other covid19
"🇨🇦🛂💉🇺🇸

Concerns over whether AstraZeneca recipients will be limited in travel to the U.S. https://t.co/5SQ5w5b6Eh… https://t.co/sdZh1zhstl",-0.07142857142857142,0.14285714285714285,🇨🇦🛂💉🇺🇸 over whether will be limited in travel to the U . S .
"PHAC Webinar for Health Care Providers: COVID-19 Variants and Vaccines  
June 23, 2021 @ 12:00pm-1:00 pm EDT
Regist… https://t.co/ubZb1LcjMo",0.0,0.0,"for Health Care : COVID - 19 and June 23 , 2021 @ 12 : 00pm - 1 : 00 …"
"Karur District - Tomorrow's (19.06.2021) Vaccination Camps

#Karur #COVID19 #TamilNadu #KarurDistrict #KarurCovid #VaccinationDrive #CovishieldVaccine #Covaxin #TNVaccineDrive #EmpoweringErode #Vaccines https://t.co/r3DM1GV9jI",0.0,0.0,District - Tomorrow ' s ( 19 . 06 . 2021 ) Vaccination COVID19
"Vaccines Bring Us Together!

Keep your friends/family safe from #COVID19 @SeattleFire &amp; @SeaPubSchools are hosting… https://t.co/MUoBXmQQwW",0.5,0.5,Bring Us Together ! Keep your / family safe from COVID19 & ; are hosting …
Patients with immune-mediated inflammatory diseases receiving background methotrexate have worse humoral and cellul… https://t.co/oBQgxkUq3I,-0.4,0.6,with immune - inflammatory background have worse humoral and …
"As of June 17th, T&amp;T has administered 201,313 doses of a WHO-approved #COVID19 vaccine. The country has approximately 56% of available stock remaining.

In Tobago, that number is lower at 15% (June 17th) with 3,000 Sinopharm doses arriving on Monday.

https://t.co/9NsIhQXxpU https://t.co/cVGwSlnmxl",0.0,0.5,"As of June 17th , T & ; T 201 , 313 of a WHO - COVID19 vaccine . The country approximately 56 % of available stock . In , that number is lower at 15 % ( June 17th ) with 3 , 000 on ."
"Join us in Al Balagh 2nd International Conference on Fiqh of Medicine &amp; learn about the Islamic Approach to COVID19 Vaccines &amp; Pharmaceutical Industry with leading subject experts.

🗓️ 19th &amp; 20th June 2021
⏳Register now https://t.co/T7bL2El0NP 

 @DrRafaqatRashid @Maraviaus https://t.co/0MMkDVuFev",-0.041666666666666664,0.08333333333333333,Join us in Al 2nd International Conference on of Medicine & ; learn about the Approach to COVID19 & ; Pharmaceutical Industry with leading subject . 🗓️ 19th & ; 20th June 2021 ⏳ Register now
"Follow @aarc_tweets, @hcollaborative &amp; @looms4lupus to keep up with the work these partners are doing to help the… https://t.co/racHhefa7o",0.0,0.0,"Follow , & ; to keep up with the work these are doing to help the …"
"Israel will deliver more than a million doses of #COVID19 vaccines to the Palestinian Authority to help it fight the corona pandemic.

The 1st delivery, consisting of 100,000 vaccines, was transfered to the PA friday afternoon through Bitunia crossing.
https://t.co/7M3lWWr1J9",0.5,0.5,"will deliver more than a million of COVID19 to the Authority to help it fight the corona pandemic . The 1st delivery , of 100 , 000 , was to the PA afternoon through crossing ."
"#COVID19 may be new, but the COVID-19 vaccines are built on trusted work that goes back decades.  

COVID-19 vaccin… https://t.co/oesbrcsOvx",0.06818181818181818,0.22727272727272727,"COVID19 may be new , but the COVID - 19 are built on work that goes back . COVID - 19 …"
I'm officially #FullyVaccinated! Vaccines are key to ending the pandemic &amp; getting back to all of our favourite peo… https://t.co/sSviVqFJlJ,0.0,0.5,I ' m officially ! are key to ending the pandemic & ; getting back to all of our …
"That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli https://t.co/eqDGa4u1Gh",0.4000000000000001,0.7166666666666667,That ' s great . But there are now * zero * available within a 6 hour driving radius of for anyone who can only get for shot 2 . Save for our . They don ' t have a choice between .
"Covid live: Delta variant becoming globally dominant, WHO says as expert calls Africa’s case trajectory ‘very, very… https://t.co/KDl4k2tZVR",0.1965909090909091,0.41250000000000003,"Covid live : Delta variant becoming globally dominant , WHO as expert ’ s case trajectory ‘ very , very …"
"Please do your research first if you read or see something about vaccines or #covid19 that sounds unusual.

Spreading disinfo means people won’t get vaccinated out of fear.

That will lead to more deaths.

America’s Frontline Doctors: not to be trusted.

https://t.co/Jy0KGpRqrs https://t.co/1yq1ER5FcQ",0.31666666666666665,0.611111111111111,Please do your research first if you read or see something about or covid19 that unusual . Spreading people won ’ t get out of fear . That will lead to more . ’ s : not to be .
13) Similar #DeltaVariant worries from a 🇨🇦 hospital— ➡️Outbreak even w/ 2 dose of mRNA vaccines—16 patients &amp; 6 HCWS #DeltaVariant positive. 6/16 patients &amp; 5/6 HCWs had received 2 doses of #COVID19 vaccine. A 2x vaccinated 80-year old also died. https://t.co/Y4GubHLMYF,0.10909090909090909,0.38181818181818183,13 ) Similar from a 🇨🇦 hospital — ➡️ Outbreak even w / 2 dose of — 16 & ; 6 positive . 6 / 16 & ; 5 / 6 had received 2 of COVID19 vaccine . A 2x 80 - year old also .
"AstraZeneca claims victory over EU in vaccine deliveries case, but will be fined for late supplies 

The EU has lost its case against the FTSE-listed pharma over the supply of Covid-19 vaccines -&gt; https://t.co/NIVR6FiCva
 #AstraZeneca #CovidVaccine #astrazenecavaccine #Covid19",-0.3,0.6,"victory over EU in vaccine case , but will be for late The EU lost its case against the - listed over the supply of Covid - 19 -& ; Covid19"
"RT @DailySabah: Israel to lend Palestine 1 million doses of soon-to-expire #COVID19 vaccines
https://t.co/Q11BdYZ7uu",0.0,0.0,: to lend 1 million of soon - to - expire COVID19
"Pin Code:[411038] 
BSM-Deenanath Hosp Pvt PMC
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 1223,7,… https://t.co/alad9mxxru",-0.75,1.0,"Pin Code :[ 411038 ] - : , Min Age Limit : [ 18 , 45 ], Dose1 Capacity : 1223 , 7 ,…"
"Pin Code:[411004] 
BMCC-DEENANATH HOSPITAL PVT
Vaccines: COVISHIELD,
Min Age Limit: [18,45],
Dose1 Capacity: 673,30… https://t.co/netNNYNpdG",-0.75,1.0,"Pin Code :[ 411004 ] - HOSPITAL : , Min Age Limit : [ 18 , 45 ], Dose1 Capacity : 673 , 30 …"
"Pin Code:[411030] 
Poona Hospital PMC P
Vaccines: COVISHIELD,
Min Age Limit: [18],
Dose1 Capacity: 24,
Dose2 Capaci… https://t.co/bnjWenhOao",-0.75,1.0,"Pin Code :[ 411030 ] Hospital P : , Min Age Limit : [ 18 ], Dose1 Capacity : 24 , Dose2 …"
"Pin Code:[411027] 
District Hospital Aundh
Vaccines: COVAXIN,
Min Age Limit: [18,45],
Dose1 Capacity: 0,
Dose2 Capa… https://t.co/iiQU2sHwQE",-0.75,1.0,"Pin Code :[ 411027 ] District Hospital : , Min Age Limit : [ 18 , 45 ], Dose1 Capacity : 0 , Dose2 …"
"As per reports, #Israel Prime Minister (#PM) #NaftaliBennett said that Israel will provide million #Covid19 #vaccine doses to #Palestine. An agreement was signed by the newly elected government for sending the vaccines. https://t.co/kYG0hoE2J6",0.13636363636363635,0.45454545454545453,"As per , Prime Minister ( ) said that will provide million Covid19 vaccine to . An agreement was by the newly government for sending the ."
18 June 2022 latest number of #COVID19 statistics in South Africa #CoronaVirusSA                              https://t.co/ofDKjzuAOf,0.5,0.9,18 June 2022 latest number of COVID19 statistics in South
"""Africa is in the midst of a full-blown third wave,"" @MoetiTshidi said. ""The sobering trajectory of surging cases should draw everyone to urgent action. 

“We've seen, in India and elsewhere, how quickly Covid-19 can rebound and overwhelm health systems""
https://t.co/CemRZeIDYr",0.14444444444444446,0.19999999999999998,""" is in the midst of a full - blown third wave ,"" said . "" The sobering trajectory of surging should draw everyone to urgent action . “ We ' seen , in and elsewhere , how quickly Covid - 19 can rebound and overwhelm health """
RT @Billius27: Precisely. Time to stop compromising health safety. https://t.co/PlZUnpcz9p,0.4,0.8,: Precisely . Time to stop compromising health safety .
"[Watch] How do vaccines work in our bodies, and how do they protect us? #COVID19 #VaccinateToSaveSouthAfrica https://t.co/oDTp5I6RWn https://t.co/lXXE9L38PE",0.0,0.0,"[ Watch ] How do work in our , and how do they protect us ? COVID19"
RT @HealthZA: 18 June 2022 latest number of #COVID19 statistics in South Africa #CoronaVirusSA                              https://t.co/of…,0.5,0.9,: 18 June 2022 latest number of COVID19 statistics in South
"👇👇👇

""People are free to believe that #COVID19 is a hoax, and to argue that vaccines are a plot...but there is no constitutional right to put other people’s health at risk. As such, there are places where you should not work unless you are vaccinated.""

https://t.co/xiVWoCtRfP",0.14017857142857143,0.5526785714285715,"👇👇👇 "" People are free to believe that COVID19 is a hoax , and to argue that are a plot ... but there is no constitutional right to put other people ’ s health at risk . As such , there are where you should not work unless you are ."""
"""Can I be fired if I don’t get vaccinated?"" 

""Can I ask my employee to get vaccinated?"" 

These were some question… https://t.co/Zk5HOg85IU",0.0,0.0,""" Can I be fired if I don ’ t get ?"" "" Can I ask my employee to get ?"" These were some question …"
"#Vaccines4Nepal #COVID19 #VaccinEquity Please 🙏
Nepal in desperate need of COVID-19 vaccines, health official warns… https://t.co/uVmGcCRfJu",-0.6,1.0,"Vaccines4Nepal COVID19 Please 🙏 in desperate need of COVID - 19 , health official …"
"RT @AmitAryaMD: List of vaccines which don't work against #COVID19 variants after 2 doses:

1.
2.
3. 
4. 

Please...go and get vaccinated! 💉",0.0,0.0,: List of which don ' t work against COVID19 after 2 : 1 . 2 . 3 . 4 . Please ... go and get ! 💉
COVID-19 vaccines have been deemed safe for #IBD patients according to a recent study by @IBDCedarsSinai published… https://t.co/e1AyVr15gw,0.25,0.375,COVID - 19 have been safe for according to a recent study by …
"Covid19 vaccines reach the remotest places of Jammu &amp; Kashmir's Gujjars, Bakarwals community. 

Healthcare staff, @BJP4India and @RSSorg karyakartas travel long distances in terrains to take forward the #VaccinationDrive. https://t.co/sFNNxzFSRv",-0.05,0.4,"Covid19 reach the of & ; ' s , community . staff , and travel long in to take forward the ."
"#Healthcare systems nationwide are taking action to be more diverse, inclusive and #equitable - However!

Employee vaccination mandates of the #COVID19 #vaccines are literally #inequitable “healthcare” - clinical trials do not adequately represent #minorities or all #genders",0.18611111111111112,0.3111111111111111,"nationwide are taking action to be more diverse , inclusive and equitable - However ! Employee vaccination of the COVID19 are literally inequitable “ ” - clinical do not adequately represent or all"
"Excited to be racing at @roadamerica this weekend. Come on another drive with me to #VaccinEquity &amp; #GoGiveOne to get vaccines to everyone, everywhere. Let's help vaccinate the world against #COVID19 https://t.co/Rg6ZOXLW97 @IndyCar @WHOFoundation @WHO https://t.co/HtrVKKviSQ",0.375,0.75,"Excited to be racing at this weekend . Come on another drive with me to & ; to get to everyone , everywhere . Let ' s help vaccinate the world against COVID19"
"""In Africa, #COVID19 cases have increased by 52% just in the past week &amp; deaths have increased by 32%. 

We expect things to only get worse.

Less than 2% of Africa’s population has been vaccinated. Vaccines donated next year will be far too late."" 

-@DrTedros @WHO #VaccinEquity https://t.co/Wo6WViwwfc",-0.14523809523809522,0.5023809523809525,""" In , COVID19 have by 52 % just in the past week & ; have by 32 %. We expect to only get worse . Less than 2 % of ’ s population been . donated next year will be far too late ."" -"
"So far, US citizens have had the choice of RNA-based vaccines. The Novavax vaccine uses an entirely different technology. #COVID19 https://t.co/tx2z9xjXMz",0.05,0.8,"So far , US have had the choice of - based . The vaccine an entirely different technology . COVID19"
"All UK adults are now eligible for their #Covid19 vaccine. 

The vaccines are safe, and effective at preventing you from getting ill from Covid - even the #Delta variant. 

@DrOmonImohi explains more.

#TeamHalo #VaccinesWork https://t.co/tsSm5XMons",0.275,0.7,"All are now eligible for their Covid19 vaccine . The are safe , and effective at you from getting ill from Covid - even the Delta variant . more ."
"Today @KingstonHSC reached the milestone of 25,000 #COVID19 vaccines given....and one of them was mine!
2nd dose do… https://t.co/4rI0RCFXcr",0.0,0.0,"Today the milestone of 25 , 000 COVID19 given .... and one of them was mine ! 2nd dose do …"
"My mother's and mine discussion about the covid19 vaccines went south. I explained which are available here, and th… https://t.co/vM6DCFzGAl",0.4,0.4,"My mother ' s and mine discussion about the covid19 went south . I which are available here , and th …"
"Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/2PAtFYkyUZ https://t.co/WcVq32s9WD",3.700743415417188e-17,0.6333333333333334,"Yet another amazingly qualified and courageous doctor , Roger , out against the crazy government policy to COVID . I have condensed his 45 on The to 6 Twitter size , starting with an overview of and ."
@IsraelMFA Israel is a brutal nazi-like entity.... it sent EXPIRED vaccines to Palestinians to further worsen the c… https://t.co/KrD14XYnbI,-0.4375,0.75,is a brutal - like entity .... it sent to to further worsen the c …
"#TeamToronto #COVID19 vaccination update for June 18: 2,854,856 vaccine doses have been administered in the city. For info about vaccines in Toronto: https://t.co/VufjfIUBs7 https://t.co/NBY8CLNQAP",0.0,0.0,"COVID19 vaccination update for June 18 : 2 , 854 , 856 vaccine have been in the city . For about in :"
"@IsraelMFA Israel is a brutal nazi-like entity.... it sent EXPIRED vaccines to Palestinians to further worsen the covid19 pandemic. Israel could have sent the vaccines to Palestinians it occupies OR ppl who need them in Africa or Asia. But instead, it let the vaccines expire. 
#Thisisisrael https://t.co/n2OpwpAhXO",-0.4375,0.75,"is a brutal - like entity .... it sent to to further worsen the covid19 pandemic . could have sent the to it OR who need them in or . But instead , it let the expire ."
I'm really enjoying how he lays out all the stats of these things .,0.5,0.6,I ' m really enjoying how he out all the of these .
"Some good news for Friday. Yesterday we had our highest daily administration of vaccines at over 58,000. On course for up to 330,000 this week. Hospital #Covid19 inpatients down to 52 (24 hospitals with 2 or less), 18 in ICU. As always, let's protect this huge progress @HSELive",0.15555555555555559,0.3711111111111111,"Some good news for . Yesterday we had our highest daily administration of at over 58 , 000 . On course for up to 330 , 000 this week . Hospital Covid19 down to 52 ( 24 with 2 or less ), 18 in . As always , let ' s protect this huge progress"
"Ontario has administered over 12 million doses of #COVID19 vaccines! 

Vaccines work. The best vaccine for your second dose is first vaccine that’s offered.

Learn more: https://t.co/6s2QWD5AdZ https://t.co/N3wSAkc2Co",0.4375,0.2833333333333333,over 12 million of COVID19 ! work . The best vaccine for your second dose is first vaccine that ’ s . Learn more :
People over politics. Israel is delivering more than a million doses of #COVID19 vaccines to the Palestinian Authority to help it fight the corona pandemic. https://t.co/KGekGSZEkr,0.5,0.5,People over politics . is more than a million of COVID19 to the Authority to help it fight the corona pandemic .
"“Can You Mix and Match COVID-19 Vaccines?” - via @usnews - https://t.co/RAvAdldQHc
--
#COVID19 #covidvaccine… https://t.co/5wftL1CPGB",0.0,0.0,“ Can You Mix and Match COVID - 19 ?” - via - -- COVID19 …
"“Can You Mix and Match COVID-19 Vaccines?” - via @usnews - https://t.co/RAvAdldQHc
--
#COVID19 #covidvaccine  #vaxnews  #vaccines #vaccineswork #covid19vaccines  #COVID19vaccine #vaccination",0.0,0.0,“ Can You Mix and Match COVID - 19 ?” - via - -- COVID19 covid19vaccines COVID19vaccine vaccination
Where the wet gyal in he pose gone?,-0.1,0.4,Where the wet in he pose gone ?
"@VictoryDay_Hope Please, do your research before you spread false information about vaccines.",-0.4000000000000001,0.6,"Hope Please , do your research before you spread false information about ."
